"Sl. No.","District","Year","Precipitation","Predicted"
20,"Koraput",2007,158.2,134.41133004926
20,"Koraput",2008,50.9,135.848768472906
20,"Koraput",2009,114.8,137.286206896551
20,"Koraput",2010,230.4,138.723645320197
20,"Koraput",2011,12.9,140.161083743842
20,"Koraput",2012,137.7,141.598522167487
20,"Koraput",2013,298.6,143.035960591133
20,"Koraput",2014,205.4,144.473399014778
20,"Koraput",2015,40,145.910837438423
20,"Koraput",2016,100.4,147.348275862069
20,"Koraput",2017,210.1,148.785714285714
20,"Koraput",2018,27.8,150.22315270936
20,"Koraput",2019,273,151.660591133005
20,"Koraput",2020,216.4,153.09802955665
20,"Koraput",2021,139,154.535467980295
20,"Koraput",2022,177.5,155.972906403941
20,"Koraput",2023,76.5,157.410344827586
21,"Malkanagiri",1995,108.2,121.251724137931
21,"Malkanagiri",1996,48.2,121.492118226601
21,"Malkanagiri",1997,65.6,121.732512315271
21,"Malkanagiri",1998,332.3,121.972906403941
21,"Malkanagiri",1999,123.9,122.213300492611
21,"Malkanagiri",2000,32.6,122.453694581281
21,"Malkanagiri",2001,26.1,122.694088669951
21,"Malkanagiri",2002,83.6,122.934482758621
21,"Malkanagiri",2003,139.9,123.174876847291
21,"Malkanagiri",2004,189.1,123.415270935961
21,"Malkanagiri",2005,194,123.655665024631
